student_id,student_name,class,section,month,fee_due,fee_paid,days_delayed,defaulted,sibling_count,transport_opted,scholarship,parent_income_band
a93fbb51,Shanaya Jain,11,A,2022-01,14087,14087,7,0,0,0,1,Low
a93fbb51,Jhanvi Kalla,11,A,2022-02,11935,6434,45,1,0,0,1,Low
a93fbb51,Faiyaz Dara,11,A,2022-03,9912,9912,19,0,0,0,1,Low
a93fbb51,Ira Chaudhari,11,A,2022-04,3520,3520,13,0,0,0,1,Low
a93fbb51,Shlok Zachariah,11,A,2022-05,3488,3488,2,0,0,0,1,Low
a93fbb51,Drishya Jhaveri,11,A,2022-06,4535,4535,2,0,0,0,1,Low
a93fbb51,Samar Upadhyay,11,A,2022-07,6582,6582,0,0,0,0,1,Low
a93fbb51,Gokul Iyer,11,A,2022-08,6811,4954,30,0,0,0,1,Low
a93fbb51,Seher Dhar,11,A,2022-09,3434,3434,13,0,0,0,1,Low
a93fbb51,Miraya Sibal,11,A,2022-10,12195,12195,18,0,0,0,1,Low
a93fbb51,Kimaya Ray,11,A,2022-11,6257,6257,0,0,0,0,1,Low
a93fbb51,Divij Dhaliwal,11,A,2022-12,14731,11673,52,1,0,0,1,Low
a93fbb51,Mohanlal Bhargava,11,A,2023-01,11928,11928,26,0,0,0,1,Low
a93fbb51,Yashvi Dhawan,11,A,2023-02,9873,9873,3,0,0,0,1,Low
a93fbb51,Amani Dugar,11,A,2023-03,6611,6611,3,0,0,0,1,Low
a93fbb51,Riya Date,11,A,2023-04,10359,10359,3,0,0,0,1,Low
a93fbb51,Abram Dugar,11,A,2023-05,12654,12654,5,0,0,0,1,Low
a93fbb51,Advika Tiwari,11,A,2023-06,7557,7557,11,0,0,0,1,Low
a93fbb51,Saanvi Kala,11,A,2023-07,3106,3106,8,0,0,0,1,Low
a93fbb51,Indrajit Dasgupta,11,A,2023-08,5615,5615,5,0,0,0,1,Low
a93fbb51,Divyansh Choudhry,11,A,2023-09,14438,14438,14,0,0,0,1,Low
a93fbb51,Indranil Bhattacharyya,11,A,2023-10,9924,9924,2,0,0,0,1,Low
a93fbb51,Vritika Dixit,11,A,2023-11,8574,8574,5,0,0,0,1,Low
a93fbb51,Mamooty Doshi,11,A,2023-12,7552,7552,6,0,0,0,1,Low
a93fbb51,Hazel Sarkar,11,A,2024-01,5547,5547,9,0,0,0,1,Low
a93fbb51,Bhamini Sachar,11,A,2024-02,6527,6527,23,0,0,0,1,Low
a93fbb51,Jayan Bhattacharyya,11,A,2024-03,8514,8514,3,0,0,0,1,Low
a93fbb51,Aaryahi Sodhi,11,A,2024-04,4674,4674,10,0,0,0,1,Low
a93fbb51,Kanav Karpe,11,A,2024-05,4519,4519,13,0,0,0,1,Low
a93fbb51,Devansh Anand,11,A,2024-06,9224,9224,0,0,0,0,1,Low
a93fbb51,Aaina Chana,11,A,2024-07,4584,4584,14,0,0,0,1,Low
a93fbb51,Mehul Kulkarni,11,A,2024-08,8881,8881,2,0,0,0,1,Low
a93fbb51,Saira Vohra,11,A,2024-09,8635,8635,1,0,0,0,1,Low
a93fbb51,Miraan Upadhyay,11,A,2024-10,12891,7979,44,1,0,0,1,Low
a93fbb51,Adira Garg,11,A,2024-11,3711,3074,50,1,0,0,1,Low
a93fbb51,Pihu Brahmbhatt,11,A,2024-12,11785,11785,24,0,0,0,1,Low
3bab04d2,Shamik Kari,2,D,2022-01,12459,12459,6,0,1,1,1,Low
3bab04d2,Ahana  Ghosh,2,D,2022-02,6150,6150,1,0,1,1,1,Low
3bab04d2,Anahi Bains,2,D,2022-03,14543,14543,20,0,1,1,1,Low
3bab04d2,Raunak Singhal,2,D,2022-04,4139,4139,10,0,1,1,1,Low
3bab04d2,Aarav Kannan,2,D,2022-05,3750,3750,2,0,1,1,1,Low
3bab04d2,Ivan Ram,2,D,2022-06,13834,13834,12,0,1,1,1,Low
3bab04d2,Jayant Kakar,2,D,2022-07,6733,6733,0,0,1,1,1,Low
3bab04d2,Aradhya Guha,2,D,2022-08,7741,7302,43,1,1,1,1,Low
3bab04d2,Aradhya Chad,2,D,2022-09,6814,6814,5,0,1,1,1,Low
3bab04d2,Sumer Subramanian,2,D,2022-10,4654,4654,19,0,1,1,1,Low
3bab04d2,Khushi Kade,2,D,2022-11,9227,9227,6,0,1,1,1,Low
3bab04d2,Fateh Shah,2,D,2022-12,7554,7554,13,0,1,1,1,Low
3bab04d2,Aradhya Maharaj,2,D,2023-01,10428,10428,14,0,1,1,1,Low
3bab04d2,Advika Bhasin,2,D,2023-02,13415,13415,3,0,1,1,1,Low
3bab04d2,Dharmajan Keer,2,D,2023-03,8977,5145,62,1,1,1,1,Low
3bab04d2,Fateh Kari,2,D,2023-04,8820,8820,26,0,1,1,1,Low
3bab04d2,Tushar Borah,2,D,2023-05,6432,5155,50,1,1,1,1,Low
3bab04d2,Suhana Tailor,2,D,2023-06,14498,13359,40,1,1,1,1,Low
3bab04d2,Madhup Taneja,2,D,2023-07,13617,13617,16,0,1,1,1,Low
3bab04d2,Vedika Ghosh,2,D,2023-08,4169,3227,45,1,1,1,1,Low
3bab04d2,Dharmajan Ratti,2,D,2023-09,5803,5803,1,0,1,1,1,Low
3bab04d2,Akarsh Gaba,2,D,2023-10,11751,11751,3,0,1,1,1,Low
3bab04d2,Romil Dhaliwal,2,D,2023-11,14946,14946,0,0,1,1,1,Low
3bab04d2,Kartik Chana,2,D,2023-12,7010,7010,7,0,1,1,1,Low
3bab04d2,Nirvi Barman,2,D,2024-01,5677,5677,8,0,1,1,1,Low
3bab04d2,Anay Kala,2,D,2024-02,10573,10573,5,0,1,1,1,Low
3bab04d2,Umang Yadav,2,D,2024-03,9216,5727,31,1,1,1,1,Low
3bab04d2,Aniruddh Babu,2,D,2024-04,13485,13485,7,0,1,1,1,Low
3bab04d2,Tanya Choudhury,2,D,2024-05,14274,14274,5,0,1,1,1,Low
